epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2346,1.24552,3.00553,1.50773,0.00504,0.60242,0.17947,0.10595,1.49509,3.64374,1.73989,0.00021671,0.00021671,0.00021671
2,24.1835,1.27644,2.43344,1.54436,0.0054,0.63799,0.1106,0.06023,1.52685,3.60426,1.71333,0.000432266,0.000432266,0.000432266
3,28.8616,1.23772,2.32408,1.49269,0.26716,0.04839,0.17565,0.09474,1.59785,3.44301,1.7175,0.000629339,0.000629339,0.000629339
4,33.6926,1.24321,2.23653,1.49841,0.28582,0.25332,0.17531,0.05797,1.88981,3.56102,2.05148,0.000807928,0.000807928,0.000807928
5,38.3418,1.29029,2.18539,1.52671,0.17386,0.15206,0.08891,0.03318,1.84987,3.47407,2.0937,0.000968034,0.000968034,0.000968034
6,42.8839,1.33911,2.25917,1.57932,0.19344,0.22742,0.14086,0.06521,1.90874,3.4986,2.23035,0.00110966,0.00110966,0.00110966
7,47.4047,1.27793,2.11775,1.52842,0.1535,0.19597,0.10186,0.03681,1.93867,3.51188,2.20495,0.00123279,0.00123279,0.00123279
8,51.8964,1.25841,2.12851,1.50232,0.23267,0.24964,0.17185,0.07875,2.09478,3.65869,2.39003,0.00120491,0.00120491,0.00120491
9,56.5023,1.29435,2.09407,1.5525,0.21805,0.21237,0.15243,0.04983,2.06771,9.29195,2.40608,0.00113889,0.00113889,0.00113889
10,61.0551,1.23418,1.99271,1.47789,0.23309,0.25959,0.15746,0.07915,1.96887,5.16683,2.23784,0.00107288,0.00107288,0.00107288
11,65.6069,1.23836,2.0199,1.50632,0.29171,0.23998,0.19657,0.09888,1.80934,6.07205,2.07891,0.00100687,0.00100687,0.00100687
12,70.2125,1.18744,1.95565,1.47397,0.48292,0.2457,0.24484,0.14748,1.65321,2.8636,1.7568,0.000940855,0.000940855,0.000940855
13,74.705,1.26216,2.01694,1.55272,0.39607,0.33494,0.29677,0.19172,1.64946,3.13211,1.80771,0.000874842,0.000874842,0.000874842
14,79.2991,1.18089,1.91213,1.47799,0.28444,0.41971,0.28515,0.17636,1.66895,3.33375,1.83012,0.000808828,0.000808828,0.000808828
15,83.8339,1.11675,1.83974,1.43732,0.41879,0.3824,0.36579,0.22774,1.6787,2.52366,1.87461,0.000742815,0.000742815,0.000742815
16,116.566,1.19148,2.01209,1.49395,0.52198,0.38946,0.38892,0.24242,1.65525,2.49042,1.86373,0.000676802,0.000676802,0.000676802
