sample_id,class,class_name,orig_fLength,orig_fWidth,orig_fSize,orig_fConc,orig_fConc1,orig_fAsym,orig_fM3Long,orig_fM3Trans,orig_fAlpha,orig_fDist,rec_fLength,rec_fWidth,rec_fSize,rec_fConc,rec_fConc1,rec_fAsym,rec_fM3Long,rec_fM3Trans,rec_fAlpha,rec_fDist,error_fLength,error_fWidth,error_fSize,error_fConc,error_fConc1,error_fAsym,error_fM3Long,error_fM3Trans,error_fAlpha,error_fDist,mse_total
0,0.0,Фон,-0.123166405,-0.608937,0.27800277,-0.1010462,-0.24017112,0.07817733,0.4258493,-0.1168187,-0.02331923,-0.38814023,-0.32186216,-0.2628916,-0.09403558,-0.05353751,-0.047949612,0.28487253,0.060527053,-0.034133706,-0.021152465,-0.21180043,0.19869575,0.34604543,0.37203836,0.047508687,0.1922215,0.2066952,0.36532223,0.082684994,0.0021667648,0.1763398,0.055096667
1,1.0,Сигнал,-0.70415103,-1.2182864,-1.2409577,1.9452872,1.4637266,0.021330157,0.04609782,-0.0058653667,-0.31412458,0.5495388,-0.8131107,-0.7445466,-1.090996,1.3889505,1.3241451,0.121271335,-0.15448937,0.009516186,0.60441405,-0.612615,0.108959675,0.4737398,0.14996171,0.55633676,0.13958156,0.09994118,0.20058718,0.015381552,0.91853863,1.1621537,0.28325582
2,1.0,Сигнал,-0.3008418,-0.15157041,1.0844612,-0.7822498,-0.79193515,0.5649883,0.3202512,-0.34965518,-0.6696015,0.018114232,0.071736194,0.14414504,0.32579628,-0.53875846,-0.5193099,0.33004963,0.08596671,-0.09313735,-0.14321227,0.06696987,0.372578,0.29571545,0.75866497,0.24349135,0.27262527,0.23493868,0.23428449,0.25651783,0.52638924,0.04885564,0.13908064
3,0.0,Фон,-0.8666726,-0.7872369,-0.5682389,1.1018145,1.1000844,0.18489544,-0.41398445,-0.11801543,-0.4992031,0.26768544,-0.68698174,-0.6692111,-0.72937125,0.8379279,0.8304779,0.18686981,-0.09969023,0.04310886,0.23389915,-0.50600463,0.17969084,0.11802584,0.16113234,0.26388663,0.26960653,0.001974374,0.31429422,0.16112429,0.7331022,0.7736901,0.14752874
4,0.0,Фон,3.5977385,0.8590267,0.9458544,-0.8922443,-0.8027364,0.85101604,-4.351807,-1.4413582,1.2461234,0.15946548,1.713233,1.6185663,1.4759406,-1.3649342,-1.2449055,-0.6107794,-0.22397715,0.03557422,0.018710759,0.7685586,1.8845055,0.7595396,0.53008616,0.47268993,0.44216907,1.4617954,4.12783,1.4769324,1.2274127,0.6090931,2.8062894
5,1.0,Сигнал,-0.6966604,-0.6596474,-1.1918634,0.9923645,0.8444547,0.6158389,-0.53095293,-0.4732273,-0.27387014,-1.1456064,-0.7747187,-0.7893985,-0.92325824,0.9815561,1.0260377,0.23736836,-0.17842871,0.044172645,0.33369485,-0.67130363,0.0780583,0.12975109,0.26860517,0.010808408,0.18158299,0.37847054,0.35252422,0.5173999,0.607565,0.47430277,0.12574805
6,1.0,Сигнал,-0.70140356,-0.28201258,-0.14141485,0.27086592,0.01815885,0.060233343,0.20145702,0.3785409,-0.39470246,-1.5357372,-0.5029343,-0.55967283,-0.29778674,0.09117184,0.17884415,0.29385087,-0.04680519,0.07385422,-0.20487729,-0.41692403,0.19846928,0.27766025,0.15637189,0.17969409,0.1606853,0.23361753,0.24826221,0.30468667,0.18982518,1.1188132,0.16958688
7,0.0,Фон,-0.76030475,-0.5833235,-1.3097321,1.1410204,1.2801052,-0.14231466,-0.6020963,0.18920656,1.5788808,-1.7741407,-0.87122655,-0.7482637,-1.2836329,1.5558777,1.5365726,0.21264625,-0.18699567,-0.020343818,0.9538825,-0.732102,0.1109218,0.16494024,0.026099205,0.41485727,0.25646734,0.35496092,0.41510063,0.20955038,0.6249983,1.0420387,0.2096757
8,1.0,Сигнал,-0.66339004,-0.44903925,-1.0289211,0.5197149,0.2287833,-0.14951086,-0.3730711,-0.5961383,0.8698966,-0.0336789,-0.569775,-0.42412716,-0.61728185,0.74704355,0.71877587,0.24297094,-0.024534527,-0.040700264,0.5509152,-0.38990602,0.093615055,0.02491209,0.41163927,0.22732866,0.48999256,0.3924818,0.34853658,0.55543804,0.3189814,0.35622713,0.12832806
9,1.0,Сигнал,0.6056943,0.26878297,1.32041,-1.086096,-1.0952704,0.9761316,1.1012679,-0.7070385,-0.9043188,1.2967747,0.71934927,0.8539807,0.8687509,-0.9516439,-0.94827104,0.1551275,0.0692403,-0.13728411,0.0035939403,0.5380697,0.11365497,0.58519775,0.45165914,0.13445216,0.14699936,0.82100415,1.0320276,0.5697544,0.90791273,0.758705,0.40627438
10,1.0,Сигнал,0.8425901,0.34955359,1.5887357,-1.1710422,-1.1474764,1.1120288,1.6506231,-0.9916722,-0.932131,0.66845036,0.7173556,0.8886639,0.87565494,-1.0105773,-0.9652244,0.28218728,0.09750277,-0.17861965,0.08746274,0.5283738,0.12523448,0.5391103,0.71308076,0.16046488,0.18225205,0.82984155,1.5531204,0.81305254,1.0195937,0.14007658,0.56948394
11,1.0,Сигнал,0.57753116,0.80916274,1.4820826,-1.0082285,-0.84954184,-0.6627158,1.0768409,1.7511716,-0.90210783,1.3874294,1.0908909,1.0465819,1.0618981,-0.87888974,-0.92524236,-0.50889826,-0.095739394,0.019184656,-0.12063928,0.66661465,0.5133597,0.23741913,0.4201845,0.1293388,0.07570052,0.15381753,1.1725802,1.7319869,0.7814686,0.7208147,0.60475695
12,1.0,Сигнал,-0.33327046,-0.53874165,-0.4025457,0.007314723,0.013658328,0.7076993,-0.64984524,-0.20639496,-0.79399365,0.404403,-0.3406093,-0.4055049,-0.14842431,-0.07391506,-0.040658668,0.24894701,0.008783232,0.04521442,-0.29630902,-0.26595238,0.0073388517,0.13323674,0.25412136,0.081229776,0.054316998,0.45875227,0.65862846,0.25160939,0.49768463,0.6703554,0.14965509
13,0.0,Фон,-0.28846854,-0.71005553,-1.152715,1.2346791,1.010974,0.5369327,0.17703387,0.32140186,-0.97390676,-1.5394187,-0.7613722,-0.86208004,-0.8206771,0.80895305,0.8813478,0.20534188,-0.20567545,0.094361015,0.01031832,-0.6759062,0.47290367,0.15202451,0.33203787,0.42572606,0.12962627,0.33159083,0.38270932,0.22704086,0.9842251,0.8635125,0.25773636
14,1.0,Сигнал,-0.8347263,-0.65224916,-1.1622375,1.5004084,1.1378888,0.43508935,0.005266923,-0.3164411,0.382674,-0.5498182,-0.7956744,-0.678884,-1.1145041,1.3989906,1.3485005,0.18487743,-0.14644183,-0.014718742,0.8051717,-0.6244947,0.03905189,0.026634872,0.047733426,0.10141778,0.2106117,0.25021192,0.15170875,0.30172235,0.42249772,0.074676454,0.04198946
15,0.0,Фон,0.03687008,-0.41933087,0.35164422,-0.7686366,-0.8108373,-0.06457089,0.3113092,-0.41801843,0.44678226,-1.1769257,-0.0358999,0.011335306,0.18385603,-0.4736349,-0.3953233,0.39115104,0.05332577,-0.08781707,-0.07237159,-0.08036688,0.072769985,0.43066618,0.1677882,0.2950017,0.41551402,0.4557219,0.25798342,0.33020136,0.51915383,1.0965588,0.23338322
16,1.0,Сигнал,-0.7310303,-0.14382039,-0.31917006,-0.011743731,-0.1933657,-0.17074247,-0.55333835,0.43370152,1.0866153,-1.933417,-0.46097493,-0.40733743,-0.33670855,0.11116425,0.2350101,0.42706478,-0.04200015,-0.03696652,0.24258235,-0.4467193,0.27005535,0.26351702,0.017538488,0.12290798,0.42837578,0.5978072,0.5113382,0.47066805,0.844033,1.4866977,0.4104321
17,0.0,Фон,-0.69630575,-1.0457413,-1.3181965,1.7525246,1.3935184,0.7986815,-0.06935905,0.5090907,1.2617654,0.35748562,-0.82616097,-0.5964015,-1.2766485,1.7185092,1.6447943,0.19631729,-0.10504089,-0.05967869,1.2511239,-0.60311174,0.12985522,0.4493398,0.041548014,0.034015417,0.2512759,0.6023642,0.035681844,0.5687694,0.010641456,0.9605974,0.18952665
18,0.0,Фон,1.1849197,-0.0013409478,0.7989948,-0.9265495,-0.9845575,1.8381776,1.6164392,-0.7167716,-0.1081199,1.2407825,0.6044539,0.77390444,0.7675758,-0.98956054,-0.82444084,0.4903447,0.10597408,-0.2141284,0.19416413,0.4011813,0.5804658,0.77524537,0.03141898,0.06301105,0.16011667,1.3478329,1.5104651,0.5026432,0.30228403,0.83960116,0.6115656
19,1.0,Сигнал,-0.26239324,-0.12042742,-0.6598675,0.029095814,0.09196741,-0.87629247,-0.5806591,-0.9072255,-0.8582169,1.5035862,0.006545745,-0.020426981,0.16129161,-0.26495245,-0.3327033,-0.0094714165,0.07091293,0.0023638485,-0.38800794,0.07754913,0.268939,0.10000044,0.8211591,0.29404825,0.4246707,0.86682105,0.651572,0.90958935,0.47020894,1.4260371,0.5281396
20,1.0,Сигнал,-0.79063845,-0.82066095,-1.475002,2.1380498,1.6464478,0.14664876,-0.43665847,-0.2427746,2.0316696,-0.86648786,-0.9450781,-0.6969878,-1.5241979,1.9961739,1.9500018,0.18887152,-0.15046911,-0.06612124,1.4497379,-0.7275417,0.15443963,0.12367314,0.049195886,0.14187598,0.30355406,0.042222753,0.28618938,0.17665336,0.5819317,0.13894618,0.06266848
21,1.0,Сигнал,-0.95539916,-0.59499246,-1.475002,1.8548957,1.9137788,0.32242206,-0.3765203,-0.33726323,0.5338744,-0.3374303,-0.903774,-0.7664141,-1.3319725,1.7355057,1.6746107,0.11979976,-0.17318802,-0.01864338,0.9604959,-0.68597275,0.051625133,0.17142165,0.14302957,0.11939001,0.23916805,0.2026223,0.20333229,0.31861985,0.4266215,0.34854245,0.06113695
22,1.0,Сигнал,0.2967958,-0.025124164,0.938448,-0.8824428,-0.93415165,-1.243976,0.6920069,0.69862777,-0.92894286,0.7817453,0.87729335,0.75577,0.7979258,-0.60852224,-0.7095814,-0.5757413,-0.07300109,0.060407154,-0.3033853,0.5277827,0.58049756,0.7808942,0.14052224,0.27392054,0.22457027,0.6682347,0.765008,0.6382206,0.62555754,0.25396264,0.29869038
23,0.0,Фон,1.413949,3.0096958,2.054285,-1.575626,-1.3923048,1.9694674,1.6965992,-2.568722,2.2752464,1.2256765,1.3901198,1.770838,1.5137942,-1.8147889,-1.4333302,0.48354203,0.089351565,-0.32007802,0.6587383,0.9081398,0.023829222,1.2388577,0.54049087,0.23916292,0.0410254,1.4859254,1.6072477,2.2486439,1.616508,0.3175367,1.4447895
24,1.0,Сигнал,-0.7451249,-0.84541154,-1.5609171,1.7949977,1.7031543,0.46938175,0.02565587,0.31064576,-0.8366086,-0.53081536,-0.8689594,-0.8903174,-1.1122304,1.2801373,1.2707311,0.109243445,-0.2195337,0.06168607,0.32182127,-0.7217202,0.12383455,0.04490584,0.44868672,0.5148604,0.43242323,0.3601383,0.24518956,0.24895969,1.1584299,0.19090486,0.23009452
